Property Reference Number,Full Property Address,Primary Liable party name,Analysis Code,Account Start Date,Current Rateable Value
177507274810,"Unit 25, Challenge Enterprise Centre, Sharps Close, Portsmouth, PO3 5RJ",Affordable Motor Glass Ltd,IF3,30/06/2013,6400
177507459320,"Unit 2, R/O Hampshire Windows, Southampton Road, Portsmouth, PO6 4RR",Affordable Secondhand Cars Limited,IF3,05/03/2020,3850
177510110009,"Suite 109, Technopole, Kingston Crescent, Portsmouth, PO2 8FA",African Leadership Organization Ltd,CO,16/08/2020,1225
177504428210,"150, Kingston Road, Portsmouth, PO2 7PD",Afro Cart Ltd,CS,10/03/2013,5900
177502728710,"94, Fawcett Road, Southsea, Hants, PO4 0DN",Afro Frontiers Limited,CS,04/12/2020,5700
177511920110,"Office, Agamemnon House, Lindisfarne Close, Portsmouth, PO6 2SB",Agamemnon Housing Association Ltd,CO,12/05/2014,6400
177500107710,"207, Albert Road, Southsea, Hants, PO4 0JP",Age Uk,CS,01/04/1990,8500
177510704710,"The Bradbury Centre, 16-18, Kingston Road, Portsmouth, PO1 5RZ",Age Uk Portsmouth,LC,19/06/2006,34500
177501615310,"144, Commercial Road, Portsmouth, PO1 1EX",Agl Realisations Limited (In Administration),CS,01/12/2020,230000
177501616010,"152, Commercial Road, Portsmouth, PO1 1EX",Agl Realisations Limited (In Administration),CS,01/12/2020,144000
177501625910,"Second Floor, 144, Commercial Road, Portsmouth, PO1 1EX",Agl Realisations Limited (In Administration),LX,01/12/2020,16500
177506056010,"First Floor 3 Beacon House, Cumberland Business Centre, Northumberland Road, Southsea, Hants, PO5 1DS",Agon Distribution Limited,CO,01/04/2018,7100
177506555810,"Airwave (Ham0440), Site At St George Reservoir, Portsdown Hill Road, Portsmouth, PO6 3LS",Airwave Solutions Ltd,MT1,28/02/2017,11500
177510090610,"Airwave Mm02 Site, Connect House, Kingston Crescent, Portsmouth, PO2 8AA",Airwave Solutions Ltd,MT1,01/11/2003,12500
177590107410,"Airwave Mm02 Mast, Fratton Park, Frogmore Road, Southsea, Hants, PO4 8RB",Airwave Solutions Ltd,MT1,01/03/2004,10000
177510680020,"The Plant Yard, Walton Road, Portsmouth, Hants, PO6 1UJ",Aj & Mj Plant (Sales) Ltd,CG1,01/09/2011,19500
177502975610,"Froddington Arms, 55, Fratton Road, Portsmouth, PO1 5AB",Aje Pub Co Limited,CL,17/01/2019,16000
177503818410,"58a, High Street, Cosham, Portsmouth, PO6 3AG",Ajm Estates Ltd,CS,01/08/2010,9300
177508298210,"A14, Railway Triangle, Walton Road, Portsmouth, PO6 1TN",Akzo Nobel Powder Coatings Ltd,IF,01/04/2018,36500
177500106510,"199, Albert Road, Southsea, Hants, PO4 0JP",Albert Meat Ltd,CS,01/03/2018,7900
177500100410,"145, Albert Road, Southsea, Hants, PO4 0JW",Albert Road Laundrycare Ltd,CS,01/04/2008,18000
177506326810,"103, Palmerston Road, Southsea, Hants, PO5 3PS",Albion Property Developments Limited,CR,01/10/2020,9600
177503077410,"1, Gamble Road, Portsmouth, PO2 7AL",Aldi Stores Ltd,CS,20/11/1998,231000
177508434610,"24, Wayte Street, Portsmouth, PO6 3BS",Aleksandar Budic Ltd,CS,20/04/2011,5500
177509109210,"Unit 32, Enterprise Centre, Quartremaine Road, Portsmouth, PO3 5QT",Alexander Autos Portsmouth Limited,IF3,01/03/2020,6900
177505996810,"Alexandra Bowling & Social Club, Northern Parade, Portsmouth, PO2 9PB",Alexandra Bowling & Soc. Club,LX,01/04/1990,10500
177503123710,"140, Gladys Avenue, Portsmouth, PO2 9BL",Alexandra Sports Ltd,CS,01/04/2017,12000
177512092310,"First Floor, 27a, Kingston Road, Portsmouth, Hants, PO2 7DP",Al-Falal Education Trust,CO,12/09/2014,4800
177506221220,"48, Osborne Road, Southsea, Hants, PO5 3LT",Algarves Restaurant Ltd,CR,27/09/2018,14000
177505366910,"Ground Floor, 7, Marmion Road, Southsea, Hants, PO5 2AT",Alice & Ivy Limited,CS,19/05/2021,10500
177510610510,"82, Elm Grove, Southsea, Hants, PO5 1LN",Alison Gardiner Designs Ltd,CS,01/02/2015,11750
177511805010,"Unit B1 Ground Floor, Beacon House , Cumberland Business Centre, Northumberland Road, Southsea  , PO5 1DS",Alivo Ltd,CO,15/10/2015,6100
177502115710,"Workshop, 1a, Dorking Crescent, Portsmouth, PO6 2QL",All Mobility Aids Ltd,CG1,01/06/2001,7300
177511291410,"N3 North Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",All Saints Church Council,CO,01/01/2013,980
177512022410,"S2 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",All Saints Church Council,CO,01/10/2015,650
177512022510,"S3 - S4 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",All Saints Church Council,CO,01/02/2014,780
177501627710,"S1 South Gallery, All Saints Church, Commercial Road, Portsmouth, PO1 4BT",All Saints Pastoral Centre,CO,11/02/2017,480
177590027210,"N1-N2, North Gallery, Commercial Road, Portsmouth, PO1 4BT",All Saints Pastoral Centre,CO,01/04/2018,1525
177509878810,"S31, Central Building, Gunwharf Quays, Portsmouth, PO1 3TU",All Saints Retail Ltd,CS,22/04/2013,111000
177500163910,"135, Allaway Avenue, Portsmouth, PO6 4HE",Allaway Grill Limited,CS,05/01/2018,10500
177504418510,"54, Kingston Road, Portsmouth, PO2 7PA",Allo Chat Limited,CR,10/07/2019,5000
177500015520,"Front Unit, Unit 9 -10 , Ackworth Road, Portsmouth, Hants, PO3 5NS",Allstyles Scooters Ltd,CG1,11/07/2011,11750
177511970310,"1, St Georges Industrial Estate, Rodney Road, Southsea, PO4 8SS",Allwood Design And Manufacture Ltd,IF3,01/06/2016,9900
177509109010,"Unit 30, Enterprise Centre, Quartremaine Road, Portsmouth, PO3 5QT",Alpha Environment Services Ltd,IF3,01/01/2017,6900
177509721610,"East Building, Claybank Road, Portsmouth, PO3 5NH",Alto Handling Ltd,IF3,01/08/2012,30000
177509721710,"West Building, Claybank Road, Portsmouth, PO3 5NH",Alto Handling Ltd,IF3,01/04/2016,31000
177511641519,"Office 12, Trafalgar House, 223, Southampton Road, Portsmouth, PO6 4PY",Altogether Care Llp,CO,01/04/2021,650
177504766520,"Unit 23, Limberline Industrial Estate, Limberline Spur, Portsmouth, PO3 5DY",Alumain Ltd,IF3,01/05/2018,10500
177500248610,"1a, Alver Road, Portsmouth, PO1 5HW",Alver-Stones Portsmouth Ltd,IF3,01/04/2003,9000
177502728610,"93, Fawcett Road, Southsea, Hants, PO4 0DB",Am Electrical South Limited,CS,03/02/2021,4350
177501686510,"185-187, Copnor Road, Portsmouth, PO3 5BT",Amberley Stores Ltd,CS,01/04/1990,10000
177505985410,"A5, Oak Park Industrial Estate, Northarbour Road, Portsmouth, PO6 3TJ",Amberon Limited,CW,18/03/2019,23500
177590092210,"Blk D Flr 2 Left Side, Enterprise House, Isambard Brunel Road, Portsmouth, PO1 2AW",Ambitio Limited,CO,02/05/2017,12000
177511415110,"Car Park, Laburnum Grove, Portsmouth, PO2 0HQ",Amercourt Limited,CX,01/07/2009,2800
177509796010,"Unit 4, Enterprise Centre, Quartremaine Road, Portsmouth, PO3 5QT",Amicable Building Solutions Ltd,IF3,01/03/2020,3400
177504430010,"157-161, Kingston Road, Portsmouth, PO2 7EF",Amp Electrical Supplies Ltd,CS,01/03/1997,17250
177500314310,"32, Arundel Street, Portsmouth, PO1 1RJ",Amplifon Ltd,CS,07/02/2007,11750
177507519710,"4, Spur Road, Portsmouth, PO6 3EB",Amr Bookkeeping & Accounts Limited,CO,15/12/2009,6300
177504200910,"The Nell Gwynne, 70, Jessie Road, Southsea, Hants, PO4 0EN",Amy Carter Ltd,CL,01/08/2016,7100
177505350010,"12, The Slipway, Marina Keep, Portsmouth, PO6 4TR",Ancasta International Boat Sales Ltd,CO,01/02/1994,9000
177504968010,"317-319, London Road, Portsmouth, PO2 9HQ",Anderson & Brett Ltd,CS,24/05/2012,6700
177505022810,"Nursery, 309, London Road, Portsmouth, PO2 9HQ",Anderson & Brett Ltd,EN1,01/09/2008,23000
177512436020,"Car Parking Spaces 19-25 , Atlantic House 114 , Kingston Crescent, PO2 8AL",Andrew & Andrew Solicitors Ltd,CP1,01/04/2015,2100
177512436030,"Car Parking Space 6 , Atlantic House 114, Kingston Crescent, PO2 8AL",Andrew & Andrew Solicitors Ltd,CP1,01/04/2015,300
177512436040,"Car Parking Spaces 13-18, Atlantic House 114 , Kingston Crescent, PO2 8AL",Andrew & Andrew Solicitors Ltd,CP1,01/04/2015,1800
177512436050,"Car Parking Spaces 1-5 , Atlantic House 114 , Kingston Crescent, PO2 8AL",Andrew & Andrew Solicitors Ltd,CP1,03/10/2018,1500
177502310110,"Portsmouth Outdoor Centre, Eastern Road, Portsmouth, PO3 5LY",Andrew Simpson Sailing Foundation,LC1,01/11/2017,25000
177507458810,"Andrews-Sykes Ltd (Engineers), Southampton Road, Portsmouth, PO6 4RJ",Andrews Sykes Hire Ltd,IF,01/04/1990,41000
177504767220,"Unit 29, Limberline Industrial Estate, Limberline Spur, Portsmouth, PO3 5DZ",Andy Gas Southern Ltd,CW,01/08/2012,7500
177509108610,"Unit 26, Enterprise Centre, Quartremaine Road, Portsmouth, PO3 5QT",Andys Baits Ltd,IF3,01/04/2010,6900
177506728210,"The British Queen, 18, Queens Road, Portsmouth, PO2 7NA",Anex (Portsmouth) Limited,CL,01/10/2018,9300
177510667210,"Units A10-A11, Railway Triangle, Walton Road, Portsmouth, PO6 1TN",Anglepoise Ltd,IF,01/10/2012,64000
177507808410,"Ground Floor, 16, Tangier Road, Portsmouth, PO3 6JL",Anglo Bangla Ltd,CR1,16/06/2020,5900
177503816410,"48f, High Street, Cosham, Portsmouth, PO6 3AG",Anglo Global Property Limited,CS,01/04/2021,49000
177504935010,"28-32, London Road, Portsmouth, PO2 0LN",Anglo Global Property Limited,CS,01/04/2021,58000
177501616910,"181, Commercial Road, Portsmouth, PO1 1EA",Ann Summers Ltd,CS,01/04/2021,114000
